Oversikt over snøskredulykker;;;;;http://www.varsom.no/Util/login.aspx?ReturnUrl=/varsomui;;;;http://tst-www.varsom.no/Util/login.aspx?ReturnUrl=%2fvarsomui;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;GULMERKET: Celler med døde eller ukjent involverte;;;;;;;;;Hei igjen;;totalt ant.;;;;;;;"S Sender,Søkestand, Spade
I Ingen
? Ukjent";;vedvarende svakt lag hvis dette er bekreftet. Ellers bruk flakskred om dette er kjent. Alt. Skavl, løssnøskred, ukjent;;;;;;;;;;;;;;;;
Blå kolonner skal vises i sesongliste på varsom. Røde er obligatoriske.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dato;Døde;Skredtatte;Aktivitet;Utløst;Sted;Kommune;Fylke;regobs.no regID;varsom.no nyhet eller rapport;Beskrivelse;Involvert;"Skadet/
omkommet";"Totalt 
begravd";"Delvis
begravd";"Tatt, 
men ikke
 begravd";"Nære på,
 men ikke 
tatt";Najonalitet;"Alder
(-årene)";Skredutstyr;"Middels til 
mye erfaring";type skred;skred-størrelse;guide;;;;;;;;;;;;;;
14.03.20;0;0;Ski;N;Storhornet;Oppdal;S-T;222825;;Skred løsnet i renne. 3 skiløpere kom seg i sikkerhet;3;;;;;3;;;;;flakskred;2;;;;;;;;;;;;;;;
07.03.20;0;1;Ski;M;Nuovasgaisa;Nordreisa;Troms;220472;;Skiløperutløst skred. En tatt. Traff tre. Fraktet til lege.;1;1;;;;;;;;;flakskred;2;;;;;;;;;;;;;;;
07.03.20;0;3;Ski;M;Livarden;Bergen;Hord.;220527;;Skiløperutløst skred. 3 tatt, kom seg ut ved egen hjelp;3;;;;3;;;;;;flakskred;2;;;;;;;;;;;;;;;
05.03.20;0;1;Bil;N;Hammerfest;Hammerfest;Finn.;220112;;Naturlig utløst skred traff vei og hjullaster. Ingen skadet.;1;;;;1;;;;;;flakskred;2;;;;;;;;;;;;;;;
04.03.20;0;0;Ski;M;Fastdalstinden;Lyngen;Troms;219667;;Skiløperutløst str.2 skred. Ingen tatt, men nære på;1;;;;;1;;;;;flakskred;2;;;;;;;;;;;;;;;
03.03.20;0;2;Ski;M;Grønhovudet;Suldal;Roga.;219779;;2 skiløpere løste ut str.2 skred.En holdt seg i overflaten,den andre begravd til livet. Ingen skader,kom seg løs selv..;2;;;1;1;;;;;;flakskred;2;;;;;;;;;;;;;;;
02.03.20;0;0;Bil;N;Bergsbotn;Senja;Troms;219477;;Bil truffet av naturlig utløst skred. Ingen skadet,;3;;;;;3;;;;;flakskred;3;;;;;;;;;;;;;;;
01.03.20;0;1;Ski;N;Raulandsgrend;Vinje;Tele.;218359;;Naturlig utløst str.2 skred. En tatt og ført utfor klippe. Lettere skadet. Fløyet til sykehus;1;1;;;;;;;;;flakskred;2;;;;;;;;;;;;;;;
24.02.20;0;1;Ski offpist;M;Tromsø alpinanlegg;Tromsø;Troms;217303;;Skiløper i skianlegg utløste str.1 skred. Tatt men ikke skadet.;1;;;;1;;;;;;flakskred;1;;;;;;;;;;;;;;;
23.02.20;0;4;Ski offpist;M;Slettafjellet;Voss;Hord.;216999;;4 skiløpere tatt av skred utløst av skavlbrudd i skianlegg. Ingen skadet.;4;;;;4;;;;;;flakskred;1;;;;;;;;;;;;;;;
20.02.20;0;1;Ski;M;Kambafjellet;Sogndal;S&F;215650;;Samme person utløste skred 2x. Str.1 og neste str.1,5-2 Ble fraktet med et stykke. Ikke skadet.;1;;;;1;;;;;;flakskred;2;;;;;;;;;;;;;;;
20.02.20;2;2;Snøskuter;M;Fridtjovbreen ;Nordenskioldland;Sval.;215644;https://varsom.no/nytt/ulykkesrapporter-sno/snoskred-dodsulykke-fridtjofbreen-marcussenfjellet-spitsbergen-svalbard-20-februar-2020/;Skuterfølge løste ut skred. 2 omkom.;2;2;;;;;;;;;flakskred;3.5;;;;;;;;;;;;;;;
